INFO 2025-08-12 21:53:08,001 basehttp 7488 15256 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-12 21:53:08,006 basehttp 7488 13240 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2025-08-12 21:53:08,011 basehttp 7488 14932 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2025-08-12 21:53:08,016 basehttp 7488 17168 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2025-08-12 21:53:18,771 basehttp 7488 15256 "GET /admin/ HTTP/1.1" 200 64339
INFO 2025-08-12 21:53:20,653 views 7488 15256 ProductViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-12 21:53:20,917 views 7488 15256 Successfully paginated 10 products
INFO 2025-08-12 21:53:21,469 basehttp 7488 15256 "GET /api/products/ HTTP/1.1" 200 45456
INFO 2025-08-12 21:53:24,318 basehttp 7488 15256 "GET /api/ HTTP/1.1" 200 6601
INFO 2025-08-12 21:53:28,130 basehttp 7488 15256 "GET /api/orders/ HTTP/1.1" 200 36976
INFO 2025-08-12 21:53:52,961 basehttp 7488 15256 "POST /admin/orders/order/ HTTP/1.1" 200 38685
INFO 2025-08-12 21:53:53,191 basehttp 7488 15256 "GET /static/admin/js/cancel.js HTTP/1.1" 304 0
INFO 2025-08-12 21:53:55,206 basehttp 7488 15256 "POST /admin/orders/order/ HTTP/1.1" 302 0
INFO 2025-08-12 21:53:55,351 basehttp 7488 15256 "GET /admin/orders/order/ HTTP/1.1" 200 67440
INFO 2025-08-12 21:53:55,441 basehttp 7488 15256 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-08-12 21:54:00,791 basehttp 7488 15256 "GET /api/orders/ HTTP/1.1" 200 28685
INFO 2025-08-12 21:55:54,484 views 7488 5320 ProductViewSet.list called with params: <QueryDict: {'page_size': ['12']}>
INFO 2025-08-12 21:55:56,545 views 7488 5320 Successfully paginated 12 products
INFO 2025-08-12 21:55:57,015 basehttp 7488 5320 "GET /api/products/?page_size=12 HTTP/1.1" 200 19132
INFO 2025-08-12 21:55:57,479 views 7488 16444 CategoryViewSet.list called with params: <QueryDict: {}>
INFO 2025-08-12 21:55:57,585 views 7488 16444 Successfully returned 4 categories
